name	URL	JSON file URL	
20170124	https://archive.org/details/wikibase-wikidatawiki-20170124		
20170130	https://archive.org/details/wikibase-wikidatawiki-20170130		
20170206	https://archive.org/details/wikibase-wikidatawiki-20170206		
20170213	https://archive.org/details/wikibase-wikidatawiki-20170213		
20170220	https://archive.org/details/wikibase-wikidatawiki-20170220		
20170821	https://archive.org/details/wikibase-wikidatawiki-20170821		
20171116	https://archive.org/details/wikibase-wikidatawiki-20171116		
20171120	https://archive.org/details/wikibase-wikidatawiki-20171120		
20171204	https://archive.org/details/wikibase-wikidatawiki-20171204		
20171206	https://archive.org/details/wikibase-wikidatawiki-20171206		
20171209	https://archive.org/details/wikibase-wikidatawiki-20171209		
20171211	https://archive.org/details/wikibase-wikidatawiki-20171211		
20171214	https://archive.org/details/wikibase-wikidatawiki-20171214		
20171218	https://archive.org/details/wikibase-wikidatawiki-20171218		
20171220	https://archive.org/details/wikibase-wikidatawiki-20171220		
20171225	https://archive.org/details/wikibase-wikidatawiki-20171225		
20171227	https://archive.org/details/wikibase-wikidatawiki-20171227		
20180101	https://archive.org/details/wikibase-wikidatawiki-20180101		
20180104	https://archive.org/details/wikibase-wikidatawiki-20180104		
20180108	https://archive.org/details/wikibase-wikidatawiki-20180108		
20180111	https://archive.org/details/wikibase-wikidatawiki-20180111		
20180115	https://archive.org/details/wikibase-wikidatawiki-20180115		
20180120	https://archive.org/details/wikibase-wikidatawiki-20180120		
20180122	https://archive.org/details/wikibase-wikidatawiki-20180122		
20180125	https://archive.org/details/wikibase-wikidatawiki-20180125		
20180129	https://archive.org/details/wikibase-wikidatawiki-20180129		
20180131	https://archive.org/details/wikibase-wikidatawiki-20180131		
20180205	https://archive.org/details/wikibase-wikidatawiki-20180205		
20180208	https://archive.org/details/wikibase-wikidatawiki-20180208		
20180212	https://archive.org/details/wikibase-wikidatawiki-20180212		
20180215	https://archive.org/details/wikibase-wikidatawiki-20180215		
20180219	https://archive.org/details/wikibase-wikidatawiki-20180219		
20180222	https://archive.org/details/wikibase-wikidatawiki-20180222		
20180226	https://archive.org/details/wikibase-wikidatawiki-20180226		
20180228	https://archive.org/details/wikibase-wikidatawiki-20180228		
20180305	https://archive.org/details/wikibase-wikidatawiki-20180305		
20180308	https://archive.org/details/wikibase-wikidatawiki-20180308		
20180312	https://archive.org/details/wikibase-wikidatawiki-20180312		
20180319	https://archive.org/details/wikibase-wikidatawiki-20180319		
20180323	https://archive.org/details/wikibase-wikidatawiki-20180323		
20181026	https://archive.org/details/wikibase-wikidatawiki-20181026		
20181104	https://archive.org/details/wikibase-wikidatawiki-20181104		
20181109	https://archive.org/details/wikibase-wikidatawiki-20181109		
20181111	https://archive.org/details/wikibase-wikidatawiki-20181111		
20181116	https://archive.org/details/wikibase-wikidatawiki-20181116		
20181118	https://archive.org/details/wikibase-wikidatawiki-20181118		
20181125	https://archive.org/details/wikibase-wikidatawiki-20181125		
20181126	https://archive.org/details/wikibase-wikidatawiki-20181126		
20181202	https://archive.org/details/wikibase-wikidatawiki-20181202		
20181203	https://archive.org/details/wikibase-wikidatawiki-20181203		
20181207	https://archive.org/details/wikibase-wikidatawiki-20181207		
20181209	https://archive.org/details/wikibase-wikidatawiki-20181209		
20181210	https://archive.org/details/wikibase-wikidatawiki-20181210		
20181214	https://archive.org/details/wikibase-wikidatawiki-20181214		
20181216	https://archive.org/details/wikibase-wikidatawiki-20181216		
20181226	https://archive.org/details/wikibase-wikidatawiki-20181226		
20181227	https://archive.org/details/wikibase-wikidatawiki-20181227		
20181231	https://archive.org/details/wikibase-wikidatawiki-20181231		
20190102	https://archive.org/details/wikibase-wikidatawiki-20190102		
20190104	https://archive.org/details/wikibase-wikidatawiki-20190104		
20190107	https://archive.org/details/wikibase-wikidatawiki-20190107		
20190109	https://archive.org/details/wikibase-wikidatawiki-20190109		
20190110	https://archive.org/details/wikibase-wikidatawiki-20190110		
20190114	https://archive.org/details/wikibase-wikidatawiki-20190114		
20190116	https://archive.org/details/wikibase-wikidatawiki-20190116		
20190118	https://archive.org/details/wikibase-wikidatawiki-20190118		
20190121	https://archive.org/details/wikibase-wikidatawiki-20190121		
20190128	https://archive.org/details/wikibase-wikidatawiki-20190128		
20190201	https://archive.org/details/wikibase-wikidatawiki-20190201		
20190208	https://archive.org/details/wikibase-wikidatawiki-20190208		
